file_name	val_mean_us	aro_mean_us	val_sd_us	aro_sd_us	val_n_us	aro_n_us	val_cilo_us	val_ciup_us	aro_cilo_us	aro_ciup_us	val_mean_ch	aro_mean_ch	val_sd_ch	aro_sd_ch	val_n_ch	aro_n_ch	val_cilo_ch	val_ciup_ch	aro_cilo_ch	aro_ciup_ch	val_diff	aro_diff	val_bf_10	val_bf_01	aro_bf_10	aro_bf_01	val_resid	aro_resid	black_px	white_px	keywords	source
ballerina3.png	7.117021277	4.632653061	1.199071173	2.077804924	94	98	6.874623224	5.044029888	6.874623224	5.044029888	6.868686869	5.747747748	1.139696206	1.504348053	99	111	6.644185188	6.027603946	6.644185188	6.027603946	0.248334408	1.115094687	0.387762873	2.578895688	59.92437909	0.016687699	-0.218812112	-0.564345638	19152	70848	child, practice, dancing, ballet, child, girl, dance	Pixabay
ballet.png	7.59375	5.59375	1.261395426	1.82715266	96	96	7.341422999	5.959249939	7.341422999	5.959249939	7.33	6.596638655	1.255734322	1.536666697	100	119	7.083880596	6.872730952	7.083880596	6.872730952	0.26375	1.002888655	0.397696137	2.514482559	61.00108055	0.016393152	-0.297939434	0.010592661	13978	76022	perfection, balance, effort, couple, performance, dance, dancer couple, elegance, ballerina, couple	Pixabay
balloon.png	6.549450549	3.442105263	1.641569278	2.215591701	91	95	6.212173639	3.887634304	6.212173639	3.887634304	5.486238532	5.135135135	1.309613167	1.97937771	109	111	5.240384195	5.503361836	5.240384195	5.503361836	1.063212017	1.693029872	730.8886619	0.001368197	1049.967342	0.000952411	0.879388661	-1.476217282	10235	79765	bursting, air, birthday	Svgsilh
balloon2.png	6.688073394	3.927835052	1.418771297	2.067846216	109	97	6.421726746	4.339345116	6.421726746	4.339345116	5.65	5.168224299	1.122542209	1.997573912	100	107	5.42998577	5.546718352	5.42998577	5.546718352	1.038073394	1.240389248	765.8492865	0.00130574	99.34533567	0.010065898	0.820688265	-1.005539683	15318	74682	flying, circus, air, party	Svgsilh
barrier.png	4.617021277	3.612244898	0.881181794	1.897544007	94	98	4.438886104	3.98793254	4.438886104	3.98793254	5.391752577	4.798165138	1.132444821	1.41931006	97	109	5.166391311	5.064612928	5.166391311	5.064612928	0.774731301	1.18592024	376.1960395	0.002658189	182.0464196	0.005493104	-0.939190419	-1.152790723	18673	71327	obstruction, hindrance, handicap, obstacle, lights, barricade	Pixabay
basketball.png	6.978947368	5.552083333	1.487386308	1.913221541	95	96	6.679851738	5.934800318	6.679851738	5.934800318	7.227722772	6.554621849	1.271858389	1.459611505	101	119	6.979680236	6.81686967	6.979680236	6.81686967	0.248775404	1.002538515	0.297049438	3.366442999	87.34162381	0.011449295	-0.789503832	-0.011960652	19066	70934	game, ball, sport, running, man	Pixabay
basketball2.png	6.869565217	4.842105263	1.461727048	1.829520281	92	95	6.57087537	5.209999951	6.57087537	5.209999951	6.75	6.017391304	1.352341979	1.438704392	112	115	6.499547363	6.28033983	6.499547363	6.28033983	0.119565217	1.175286041	0.188464274	5.306045444	168.0168879	0.005951783	-0.323257255	-0.477553708	16903	73097	balance, trick, sport, show-off, trick, rotating, spinning, basketball, sports, play	Pixabay
basketball3.png	7.064814815	5.197916667	1.382623459	1.850290399	108	96	6.804055318	5.568045033	6.804055318	5.568045033	6.84	5.798165138	1.375984496	1.532244882	100	109	6.570311994	6.085814239	6.570311994	6.085814239	0.224814815	0.600248471	0.26670191	3.749504451	1.569799325	0.637024099	-0.236452531	-0.022016794	9988	80012	dunk, jump, sport, throw, ball, throwing a ball, sports, play	Pixabay
basketball4.png	6.64516129	5.724489796	1.265299082	1.87649933	93	98	6.388003426	6.096010881	6.388003426	6.096010881	6.867346939	6.125	1.297402282	1.356499204	98	112	6.610479112	6.376222552	6.610479112	6.376222552	0.222185648	0.400510204	0.305784298	3.2702791	0.35539067	2.813804872	-0.689057559	0.355879862	15698	74302	throw, jump, tuss, sport, score, slamdunk, throwing, ball, sports	Pixabay
bathtub.png	7.364583333	4.284210526	1.338654404	2.495370854	96	95	7.096801602	4.785999815	7.096801602	4.785999815	6.61	5.940677966	1.340096484	1.618759538	100	118	6.347345916	6.232749632	6.347345916	6.232749632	0.754583333	1.65646744	27.89795115	0.035844926	561.6782664	0.001780379	0.340452887	-1.000551713	25610	64390	warm, relaxation, bubbles, woman, bath, bubbles, woman, bubbles	Pixabay
bathtub2.png	6.543478261	3.189473684	1.781547935	1.794167482	92	95	6.179436095	3.550259346	6.179436095	3.550259346	6.045045045	5.139130435	1.467139377	1.643098039	111	115	5.772110834	5.439435494	5.772110834	5.439435494	0.498433216	1.949656751	1.605652156	0.622799899	10529.84555	9.50E-05	2.00E-01	-1.73E+00	2.27E+04	6.73E+04	bubbles, shower, relaxation, shower, man, bath, bubbles	Pixabay
bazooka.png	2.364485981	6.680412371	1.436666236	2.243260238	107	97	2.092270959	7.126830561	2.092270959	7.126830561	3.77	5.082568807	1.780108951	2.117512693	100	109	3.421105057	5.480090529	3.421105057	5.480090529	1.405514019	1.597843564	3633.975384	0.000275181	1591.300555	0.000628417	-1.237606235	1.786002135	22323	67677	weapon, shooter, terrorist, war, weapon, explosive, war, army, soldier, weapon, man	Pixabay
beach.png	6.946808511	3.591836735	1.447036432	2.371813586	94	98	6.654283078	4.061423237	6.654283078	4.061423237	6.111111111	5.309090909	1.300619075	1.900002195	99	110	5.854910234	5.664154263	5.854910234	5.664154263	0.8356974	1.717254174	57.04477665	0.017530089	699.2868118	0.001430028	0.523810758	-1.405617916	23431	66569	palms, sand, sunny, umbrella, palm trees, holidays, palm beach, beach, vacation, parasol, palm tree	Pixabay
bear.png	3.65625	6.604166667	1.709589825	2.069727501	96	96	3.314267094	7.018190789	3.314267094	7.018190789	4.232323232	4.831932773	1.583256028	1.838013517	99	119	3.920447456	5.162167934	3.920447456	5.162167934	0.576073232	1.772233894	3.015162458	0.331657088	1225.821556	0.000815779	-0.502915377	1.823770221	49041	40959	danger, animal, claws, feral, fangs, animal, aggressive predator, grizzly	Svgsilh
bear2.png	5.282608696	5.410526316	1.711795452	2.243168052	92	95	4.932819778	5.861600632	4.932819778	5.861600632	4.9375	5.026548673	1.31711704	1.572419524	112	113	4.693570993	5.316468086	4.693570993	5.316468086	0.345108696	0.383977643	0.461540161	2.166658688	0.467542203	2.138844351	0.273745481	0.541599518	22706	67294	fur, animal, trap, animal, wild, grizzly	Pxhere
bee.png	4.611111111	4.587628866	2.063629564	2.163872769	108	97	4.221915482	5.018248617	4.221915482	5.018248617	4.51	4.471698113	1.27521042	1.972224015	100	106	4.26006335	4.847147502	4.26006335	4.847147502	0.101111111	0.115930753	0.154813328	6.459392175	0.173122936	5.776242148	0.117361046	-0.028897611	21683	68317	insect, sting, buzzing, insect, honey, insect	Pixabay
